Evenements,Date,Value
Travaux d’isolation,0,77.3
Travaux d’isolation,1,78.5
Travaux d’isolation,7,74.9
Travaux d’isolation,2,79.3
Travaux d’isolation,3,79.6
Travaux d’isolation,5,80.4
Travaux d’isolation,6,74.9
Travaux d’isolation,4,79.4
Raccordement,0,87.4
Raccordement,2,84.5
Raccordement,1,86.2
Raccordement,4,86.5
Raccordement,7,88.8
Raccordement,8,86.0
Raccordement,3,86.0
Raccordement,5,86.4
Raccordement,6,90.3
Accueil,0,87.2
Accueil,1,87.2
Accueil,5,83.9
Accueil,6,85.3
Accueil,7,84.5
Accueil,8,84.9
Accueil,2,86.5
Accueil,3,87.5
Accueil,4,86.9
Maitrise de l'énergie,0,79.6
Maitrise de l'énergie,1,76.4
Maitrise de l'énergie,5,75.5
Maitrise de l'énergie,6,78.8
Maitrise de l'énergie,7,78.0
Maitrise de l'énergie,4,82.9
Maitrise de l'énergie,2,83.5
Maitrise de l'énergie,3,79.9
Maitrise de l'énergie,8,74.2
Interventions Techniques Clients,0,89.2
Interventions Techniques Clients,5,82.5
Interventions Techniques Clients,6,82.7
Interventions Techniques Clients,7,83.3
Interventions Techniques Clients,4,89.6
Interventions Techniques Clients,1,89.3
Interventions Techniques Clients,2,88.9
Interventions Techniques Clients,3,86.2
Interventions Techniques Clients,8,79.7
Conseils et gestion du contrat,0,44.7
Conseils et gestion du contrat,2,50.5
Conseils et gestion du contrat,7,62.7
Conseils et gestion du contrat,8,62.3
Conseils et gestion du contrat,3,52.3
Conseils et gestion du contrat,1,49.9
Conseils et gestion du contrat,4,54.2
Conseils et gestion du contrat,5,63.3
Conseils et gestion du contrat,6,62.6
Absence de conseils,4,38.7
Absence de conseils,5,19.2
Absence de conseils,6,18.3
Absence de conseils,7,19.6
Absence de conseils,8,22.2
Réclamations,3,47.5
Réclamations,4,45.3
Réclamations,5,43.5
Réclamations,6,52.5
Réclamations,7,36.3
